RECNO,UNIT,ID,SUFFIX,CODE,SECTOR,LEVEL,EXCAVATOR,PRISM,RESIDUE,MARKERID,BUCKETVOL,OFFSET,NOTES,X,Y,Z,DATE,TIME
 1 ,AMZ7,VMCKQ, 0 ,TOPO,4,Surface,BLACKWOOD, 0 , , , 0 , , , 361804.418 , 6267535.199 , 151.023 ,14/11/2018 7:58:40 AM ,1/01/1900 7:58:40 AM 
 2 ,AMZ7,JETDX, 0 ,TOPO,4,Surface,BLACKWOOD, 0.4 , , , 0 , , , 361805.018 , 6267533.941 , 151.021 ,14/11/2018 8:24:33 AM ,1/01/1900 8:24:33 AM 
 3 ,AMZ7,VCNSU, 0 ,OUTLINE,4,OYSSL-DOSSL,BJA, 0.4 , , , 0 , , , 361804.003 , 6267535 , 151.029 ,14/11/2018 8:33:19 AM ,1/01/1900 8:33:19 AM 
 4 ,AMZ7,VCNSU, 1 ,OUTLINE,4,OYSSL-DOSSL,BJA, 0.4 , , , 0 , , , 361804.994 , 6267535 , 151.027 ,14/11/2018 8:34:14 AM ,1/01/1900 8:34:14 AM 
 5 ,AMZ7,VCNSU, 2 ,OUTLINE,4,OYSSL-DOSSL,BJA, 0.4 , , , 0 , , , 361805.007 , 6267534.002 , 151.025 ,14/11/2018 8:34:36 AM ,1/01/1900 8:34:36 AM 
 6 ,AMZ7,VCNSU, 3 ,OUTLINE,4,OYSSL-DOSSL,BJA, 0.4 , , , 0 , , , 361803.99 , 6267534.003 , 151.053 ,14/11/2018 8:34:54 AM ,1/01/1900 8:34:54 AM 
 7 ,AMZ7,VCNSU, 4 ,OUTLINE,4,OYSSL-DOSSL,BJA, 0.4 , , , 0 , , , 361806.007 , 6267533.993 , 151.083 ,14/11/2018 8:35:24 AM ,1/01/1900 8:35:24 AM 
 8 ,AMZ7,KBEXV, 0 ,AGISOFT_MARKER,4,OYSSL-DOSSL,BJA, 0.4 , ,137, 0 , , , 361804.439 , 6267536.103 , 151.205 ,14/11/2018 9:44:08 AM ,1/01/1900 9:44:08 AM 
 9 ,AMZ7,KBEXV, 1 ,AGISOFT_MARKER,4,OYSSL-DOSSL,BJA, 0.4 , ,78, 0 , , , 361802.734 , 6267535.809 , 151.277 ,14/11/2018 9:44:44 AM ,1/01/1900 9:44:44 AM 
 10 ,AMZ7,KBEXV, 2 ,AGISOFT_MARKER,4,OYSSL-DOSSL,BJA, 0.4 , ,90, 0 , , , 361802.857 , 6267533.135 , 151.415 ,14/11/2018 9:45:09 AM ,1/01/1900 9:45:09 AM 
 11 ,AMZ7,KBEXV, 3 ,AGISOFT_MARKER,4,OYSSL-DOSSL,BJA, 0.4 , ,44, 0 , , , 361804.645 , 6267532.785 , 151.414 ,14/11/2018 9:45:31 AM ,1/01/1900 9:45:31 AM 
 12 ,AMZ7,KBEXV, 4 ,AGISOFT_MARKER,4,OYSSL-DOSSL,BJA, 0.4 , ,115, 0 , , , 361806.408 , 6267534.265 , 150.954 ,14/11/2018 9:46:10 AM ,1/01/1900 9:46:10 AM 
 13 ,AMZ7,KBEXV, 5 ,AGISOFT_MARKER,4,OYSSL-DOSSL,BJA, 0.4 , ,89, 0 , , , 361804.231 , 6267534.378 , 151.052 ,14/11/2018 9:46:32 AM ,1/01/1900 9:46:32 AM 
 14 ,AMZ7,2798, 0 ,SED_SAMPLE,4.803-535,OYSSL-DOSSL,AGR, 0.4 , , , 0 , , , 361803.171 , 6267535.74 , 151.04 ,14/11/2018 10:21:53 AM ,1/01/1900 10:21:53 AM 
